 ,Area,Mean,Min,Max
365,8,12763.750,8416,22121
366,9,3989.778,2943,5749
367,7,16512.571,11546,23162
368,9,11956.000,9209,21738
369,7,4806.571,2717,7987
370,10,8209.800,6360,12101
371,7,4543.714,3410,5706
372,9,9556.000,3370,13848
373,6,9866.167,4968,15928
374,10,7419.100,3787,12179
375,7,8204.429,4621,13911
376,9,14485.556,8252,21057
377,10,12483.900,6172,20119
378,9,8500.667,4299,13625
379,7,11695.714,4136,20051
380,8,9249.500,5258,13983
381,7,10293.286,6909,17333
382,8,8068.625,4850,12748
383,9,11726.333,7175,17676
384,8,11729.125,9245,13602
385,10,9362.900,5477,15736
386,9,13619.222,11262,15478
387,10,7217.500,3972,10510
388,7,14438.571,10636,16944
389,7,5797.857,3483,8620
390,8,8537.000,5713,10766
391,8,10393.500,4422,15131
392,8,10363.000,5715,13149
393,7,10755.286,4934,17020
394,7,12669.429,7530,23067
395,6,8507.667,3655,12626
396,8,7341.375,3430,10064
397,5,8394.200,4856,16763
398,8,13673.500,6658,24755
399,7,8732.286,5001,14136
400,6,7738.333,5024,9055
401,9,9093.778,4762,13381
402,6,10556.167,6045,19158
403,9,11120.444,5058,18411
404,7,6229.286,3409,9069
405,6,10130.000,6804,16969
406,8,6076.750,3095,12407
407,10,7496.700,2369,13122
408,6,7510.667,4565,11737
409,6,8157.000,6140,10563
410,10,9496.100,3721,16644
411,9,10044.000,4601,20680
412,6,8002.833,4827,10841
413,9,14882.889,9903,19354
414,8,8485.125,4811,15080
415,7,10182.143,5630,20301
416,8,8551.250,4447,14693
417,9,8354.778,4606,10780
418,7,11863.429,5619,16883
419,9,12430.889,7287,16985
